Called Number,Call Date,Call Time,Call Location,Call Duration
+905378773954,2023-10-15,15:43:30,Amasra,43
+905343284716,2023-04-03,02:07:42,Van,93
+905381573173,2023-01-18,10:21:01,Amasra,41
+905380582267,2023-11-12,19:10:38,Amasra,38
+905304632353,2023-11-05,10:46:14,Kilis,18
+905343284716,2023-09-18,23:12:47,Van,89
+905378773954,2023-06-07,22:09:55,Amasra,61
+905343284716,2023-01-29,03:00:05,Van,2
+905330202039,2023-10-04,20:07:11,Amasra,104
+905378773954,2023-10-10,19:37:14,Amasra,4
+905381573173,2023-03-23,14:36:55,Amasra,52
+905330202039,2023-10-15,06:25:57,Amasra,75
+905304632353,2023-06-27,13:01:52,Kilis,4
+905380582267,2023-12-31,05:58:08,Amasra,66
+905330202039,2023-04-25,01:49:08,Amasra,92
+905381573173,2023-09-17,17:09:40,Amasra,54
+905343284716,2023-08-28,08:27:09,Van,18
+905304632353,2023-03-01,12:33:42,Kilis,120
+905381573173,2023-11-23,04:23:20,Amasra,1
+905378773954,2023-09-12,07:16:27,Amasra,8
