Called Number,Call Date,Call Time,Call Location,Call Duration
+905325583106,2023-07-18,08:10:45,Igdir,112
+905346274312,2023-09-03,09:43:27,Batman,39
+905325583106,2023-11-13,01:29:13,Igdir,10
+905346274312,2023-10-23,14:07:39,Batman,26
+905325583106,2023-09-02,01:00:04,Igdir,119
+905325583106,2023-07-01,08:01:39,Igdir,120
+905346274312,2023-01-11,10:27:14,Batman,112
+905313504341,2023-08-30,12:15:40,Konya,17
+905325583106,2023-05-23,00:38:40,Igdir,120
+905346274312,2023-08-11,12:04:00,Batman,3
+905346274312,2023-07-24,09:56:08,Batman,55
+905345819894,2023-06-26,02:06:16,Batman,22
+905325583106,2023-05-27,13:01:00,Igdir,14
+905313504341,2023-02-05,09:47:36,Konya,16
+905345819894,2023-04-22,02:23:37,Batman,92
+905331048453,2023-01-22,12:55:55,Batman,120
+905343214235,2023-01-02,05:46:31,Batman,91
+905346274312,2023-05-11,03:44:14,Batman,37
+905313504341,2023-11-07,12:52:35,Konya,81
+905346274312,2023-09-30,08:58:48,Batman,30
