Called Number,Call Date,Call Time,Call Location,Call Duration
+905304838515,2023-04-21,14:41:52,Corum,3
+905304838515,2023-11-14,18:24:33,Corum,57
+905390385154,2023-07-03,04:12:26,Corum,44
+905378376889,2023-04-14,12:51:52,Corum,58
+905304838515,2023-12-25,20:07:35,Corum,28
+905378376889,2023-04-25,06:27:15,Corum,22
+905304838515,2023-06-29,04:49:43,Corum,111
+905390385154,2023-12-26,21:32:23,Corum,49
+905341053068,2023-06-06,14:44:22,Artvin,113
+905304838515,2023-09-06,11:47:28,Corum,28
+905389396938,2023-08-01,08:33:55,Corum,108
+905389396938,2023-04-08,06:50:10,Corum,18
+905390385154,2023-02-22,03:44:28,Corum,107
+905313037016,2023-01-28,20:31:55,Amasra,24
+905341053068,2023-03-15,08:33:35,Artvin,93
+905389396938,2023-10-03,10:22:24,Corum,15
+905313037016,2023-12-05,23:30:32,Amasra,10
+905389396938,2023-01-05,16:35:20,Corum,72
+905304838515,2023-11-27,10:52:23,Corum,80
+905313037016,2023-04-29,21:16:27,Amasra,51
