Called Number,Call Date,Call Time,Call Location,Call Duration
+905372610596,2023-04-08,01:44:58,Kirsehir,101
+905379381919,2023-07-06,01:32:03,Kirsehir,39
+905386319280,2023-09-14,02:34:33,Manisa,60
+905321377646,2023-04-19,13:29:14,Kirsehir,29
+905333664111,2023-10-04,18:39:36,Kirsehir,39
+905372610596,2023-01-16,11:11:14,Kirsehir,120
+905379381919,2023-10-13,13:36:22,Kirsehir,120
+905321377646,2023-07-13,23:41:49,Kirsehir,69
+905386319280,2023-12-21,02:39:08,Manisa,57
+905316184619,2023-09-07,11:37:38,Konya,98
+905379381919,2023-06-12,20:56:58,Kirsehir,114
+905386319280,2023-01-22,15:55:02,Manisa,18
+905321377646,2023-09-04,12:41:07,Kirsehir,64
+905321377646,2023-08-28,12:58:00,Kirsehir,19
+905316184619,2023-07-19,14:43:32,Konya,23
+905372610596,2023-09-17,13:00:48,Kirsehir,3
+905386319280,2023-03-07,13:03:21,Manisa,26
+905333664111,2023-08-31,13:26:52,Kirsehir,91
+905379381919,2023-09-02,18:55:41,Kirsehir,106
+905316184619,2023-01-14,13:43:36,Konya,96
