Called Number,Call Date,Call Time,Call Location,Call Duration
+905351890755,2023-12-04,15:56:16,Hatay,39
+905391137786,2023-04-23,17:13:32,Kahramanmaras,35
+905311751578,2023-12-13,18:07:17,Bolu,103
+905340999294,2023-01-07,22:35:32,Kutahya,49
+905329035862,2023-04-20,16:08:29,Denizli,68
+905341887525,2023-10-29,01:59:54,Luleburgaz,4
+905313546885,2023-03-09,04:14:33,Erzurum,79
+905370883227,2023-02-20,16:39:40,Bingol,57
+905398349010,2023-03-28,15:18:37,Burdur,24
+905346318579,2023-10-30,20:22:56,Luleburgaz,52
+905390464546,2023-11-21,18:15:24,Kutahya,23
+905348978130,2023-04-19,11:05:06,Tunceli,78
+905342819609,2023-01-12,17:22:39,Tunceli,107
+905325117828,2023-06-11,04:22:45,Luleburgaz,98
+905350989807,2023-03-28,01:55:03,Bingol,90
+905390597198,2023-01-03,20:17:46,Amasra,41
+905355815734,2023-08-03,22:41:01,Giresun,33
+905362877271,2023-12-09,10:14:19,Giresun,108
+905334080658,2023-09-16,12:44:29,Bolu,113
+905391521199,2023-05-09,21:24:21,Burdur,86
