Called Number,Call Date,Call Time,Call Location,Call Duration
+905369272187,2023-10-26,15:56:11,Kirikkale,60
+905397479675,2023-08-08,13:12:11,Amasra,43
+905323324959,2023-12-06,21:01:05,Ankara,78
+905397167633,2023-12-07,11:26:56,Amasra,61
+905369272187,2023-07-05,19:17:53,Kirikkale,83
+905397167633,2023-07-04,06:28:17,Amasra,74
+905357661695,2023-08-02,03:03:04,Amasra,62
+905397167633,2023-02-02,01:48:12,Amasra,16
+905334499403,2023-08-03,01:32:17,Amasra,13
+905323324959,2023-02-23,10:44:34,Ankara,116
+905323324959,2023-04-25,19:39:51,Ankara,86
+905323324959,2023-09-02,08:37:02,Ankara,36
+905357661695,2023-06-02,22:40:16,Amasra,18
+905334499403,2023-11-01,16:30:54,Amasra,33
+905323324959,2023-09-04,09:07:15,Ankara,30
+905323324959,2023-11-22,15:00:14,Ankara,71
+905357661695,2023-12-15,07:42:57,Amasra,88
+905323324959,2023-07-29,06:12:22,Ankara,24
+905334499403,2023-09-24,09:01:39,Amasra,84
+905397479675,2023-05-14,04:31:27,Amasra,53
