Called Number,Call Date,Call Time,Call Location,Call Duration
+905342595926,2023-07-24,11:37:34,Edirne,4
+905328624862,2023-04-13,10:35:46,Cankiri,84
+905308903251,2023-11-29,17:16:47,Edirne,67
+905342595926,2023-06-01,20:45:59,Edirne,82
+905365034452,2023-09-07,11:01:41,Edirne,28
+905348447013,2023-12-09,12:16:29,Edirne,39
+905365034452,2023-08-13,00:32:25,Edirne,67
+905355804192,2023-09-15,20:40:15,Ardahan,98
+905342595926,2023-06-09,04:43:20,Edirne,97
+905308903251,2023-12-14,19:41:48,Edirne,3
+905365034452,2023-09-09,22:45:41,Edirne,92
+905308903251,2023-09-03,07:14:07,Edirne,102
+905348447013,2023-06-19,20:51:04,Edirne,20
+905365034452,2023-10-20,11:26:45,Edirne,34
+905342595926,2023-01-22,12:19:30,Edirne,84
+905308903251,2023-01-29,01:05:41,Edirne,82
+905348447013,2023-11-07,11:59:13,Edirne,104
+905365034452,2023-12-04,15:39:48,Edirne,59
+905348447013,2023-10-18,00:44:35,Edirne,115
+905348447013,2023-06-22,02:56:53,Edirne,7
