Called Number,Call Date,Call Time,Call Location,Call Duration
+905381424689,2023-11-12,09:28:11,Isparta,68
+905322365893,2023-10-21,12:33:20,Artvin,95
+905373434449,2023-01-31,16:43:16,Isparta,3
+905375420728,2023-04-28,05:11:37,Kilis,115
+905375420728,2023-08-14,02:07:34,Kilis,12
+905322365893,2023-12-04,07:38:41,Artvin,6
+905381424689,2023-10-03,09:57:25,Isparta,57
+905333504353,2023-09-26,11:17:52,Isparta,101
+905333504353,2023-11-12,12:52:38,Isparta,10
+905375420728,2023-08-25,13:48:14,Kilis,4
+905375420728,2023-05-16,11:33:33,Kilis,13
+905322365893,2023-04-02,21:46:49,Artvin,2
+905373434449,2023-11-15,07:19:11,Isparta,47
+905322365893,2023-06-27,15:22:23,Artvin,77
+905322365893,2023-03-28,22:41:14,Artvin,35
+905373434449,2023-07-14,07:22:02,Isparta,25
+905373434449,2023-04-25,01:36:36,Isparta,19
+905375420728,2023-05-12,04:26:30,Kilis,116
+905346722631,2023-10-25,09:07:02,Isparta,19
+905373434449,2023-07-15,08:25:52,Isparta,7
