Called Number,Call Date,Call Time,Call Location,Call Duration
+905345780454,2023-10-31,13:13:06,Izmir,106
+905389888908,2023-04-06,03:50:21,Sanliurfa,54
+905345813329,2023-12-31,18:32:59,Sivas,17
+905365244066,2023-04-12,22:34:52,Sanliurfa,111
+905389888908,2023-06-10,07:43:12,Sanliurfa,31
+905345813329,2023-06-17,01:16:16,Sivas,46
+905345780454,2023-07-07,07:36:28,Izmir,96
+905389888908,2023-01-11,13:41:15,Sanliurfa,35
+905345813329,2023-01-25,21:12:38,Sivas,116
+905345813329,2023-11-22,07:13:37,Sivas,117
+905385803090,2023-04-21,09:33:58,Sanliurfa,74
+905385803090,2023-11-17,04:04:41,Sanliurfa,87
+905345780454,2023-12-23,21:39:40,Izmir,85
+905345813329,2023-12-07,16:32:44,Sivas,62
+905385803090,2023-07-07,06:53:28,Sanliurfa,120
+905365244066,2023-02-22,17:35:39,Sanliurfa,27
+905365244066,2023-01-15,11:48:14,Sanliurfa,43
+905365244066,2023-10-14,20:29:57,Sanliurfa,69
+905365244066,2023-02-01,19:06:41,Sanliurfa,103
+905385803090,2023-08-24,19:09:34,Sanliurfa,34
