Called Number,Call Date,Call Time,Call Location,Call Duration
+905338372668,2023-11-11,03:28:23,Zonguldak,68
+905383541171,2023-10-20,00:24:26,Igdir,58
+905383541171,2023-06-14,04:26:32,Igdir,64
+905335099227,2023-07-19,21:52:16,Bilecik,113
+905335099227,2023-03-29,18:23:50,Bilecik,110
+905308280956,2023-12-22,14:10:23,Zonguldak,63
+905308280956,2023-09-22,19:24:19,Zonguldak,56
+905308280956,2023-12-14,07:01:33,Zonguldak,18
+905335099227,2023-01-16,08:58:00,Bilecik,57
+905335099227,2023-09-19,06:43:44,Bilecik,79
+905383541171,2023-04-27,06:33:10,Igdir,51
+905323314965,2023-07-29,10:30:25,Zonguldak,106
+905335099227,2023-04-11,23:55:34,Bilecik,26
+905308280956,2023-01-15,21:38:49,Zonguldak,103
+905323314965,2023-07-09,00:31:14,Zonguldak,95
+905323314965,2023-05-20,00:35:22,Zonguldak,5
+905338372668,2023-07-26,17:56:26,Zonguldak,119
+905323314965,2023-09-06,03:56:45,Zonguldak,80
+905338372668,2023-06-07,15:21:10,Zonguldak,79
+905323314965,2023-07-27,05:00:35,Zonguldak,83
