Called Number,Call Date,Call Time,Call Location,Call Duration
+905334699535,2023-10-17,09:19:46,Malatya,33
+905334699535,2023-12-23,16:41:37,Malatya,54
+905353413772,2023-12-11,14:28:28,Sakarya,43
+905375554226,2023-09-25,22:57:13,Malatya,106
+905375554226,2023-12-31,08:05:36,Malatya,40
+905353413772,2023-09-27,13:08:29,Sakarya,117
+905311975189,2023-06-12,13:35:26,Malatya,64
+905375554226,2023-12-26,15:42:35,Malatya,24
+905334699535,2023-05-03,21:36:01,Malatya,79
+905364992666,2023-01-16,21:48:50,Malatya,49
+905375554226,2023-05-26,11:29:04,Malatya,63
+905366885699,2023-05-08,17:01:41,Osmaniye,77
+905353413772,2023-09-19,21:12:06,Sakarya,31
+905364992666,2023-02-14,05:24:47,Malatya,54
+905366885699,2023-08-14,00:03:51,Osmaniye,64
+905311975189,2023-01-09,00:29:46,Malatya,106
+905311975189,2023-03-24,12:51:16,Malatya,27
+905364992666,2023-04-28,15:46:19,Malatya,37
+905311975189,2023-12-19,17:34:04,Malatya,115
+905364992666,2023-01-22,06:11:41,Malatya,82
