Called Number,Call Date,Call Time,Call Location,Call Duration
+905394727963,2023-11-27,15:12:23,Osmaniye,43
+905366046703,2023-05-20,22:11:46,Gaziantep,28
+905378971148,2023-01-09,23:43:11,Gaziantep,105
+905312249115,2023-03-30,22:26:35,Gaziantep,76
+905312249115,2023-05-15,18:28:28,Gaziantep,66
+905378971148,2023-02-23,09:31:16,Gaziantep,14
+905319557240,2023-01-26,13:10:36,Gaziantep,30
+905394727963,2023-04-13,00:10:56,Osmaniye,110
+905394727963,2023-03-28,19:17:35,Osmaniye,54
+905319557240,2023-02-06,12:57:29,Gaziantep,56
+905312249115,2023-08-22,15:57:51,Gaziantep,80
+905312249115,2023-12-04,22:20:42,Gaziantep,103
+905366046703,2023-06-11,11:52:11,Gaziantep,14
+905366046703,2023-11-18,15:09:05,Gaziantep,57
+905394727963,2023-09-20,21:19:24,Osmaniye,35
+905366046703,2023-01-10,19:32:49,Gaziantep,110
+905384003348,2023-12-31,23:07:43,Balikesir,64
+905394727963,2023-01-08,16:54:48,Osmaniye,28
+905378971148,2023-03-12,18:53:11,Gaziantep,47
+905394727963,2023-01-07,23:33:29,Osmaniye,92
