Called Number,Call Date,Call Time,Call Location,Call Duration
+905352447744,2023-06-22,11:56:53,Bilecik,34
+905352447744,2023-03-15,06:34:32,Bilecik,64
+905352447744,2023-02-08,17:10:53,Bilecik,14
+905349243613,2023-01-22,09:40:52,Kirklareli,11
+905349243613,2023-08-16,22:37:44,Kirklareli,99
+905345071700,2023-03-11,13:50:27,Yozgat,70
+905356998650,2023-06-02,14:58:45,Kirklareli,109
+905306004448,2023-12-27,12:30:00,Kirklareli,39
+905349243613,2023-10-17,12:15:43,Kirklareli,1
+905349243613,2023-03-28,07:31:04,Kirklareli,68
+905345071700,2023-10-12,11:49:33,Yozgat,113
+905345071700,2023-10-21,06:27:44,Yozgat,46
+905387850498,2023-11-19,14:44:24,Kirklareli,10
+905345071700,2023-05-08,11:07:17,Yozgat,4
+905345071700,2023-09-13,07:53:40,Yozgat,28
+905356998650,2023-11-19,17:53:32,Kirklareli,90
+905306004448,2023-06-27,06:57:20,Kirklareli,10
+905387850498,2023-07-19,14:54:31,Kirklareli,10
+905345071700,2023-08-30,13:41:23,Yozgat,38
+905345071700,2023-09-18,13:37:39,Yozgat,16
