Called Number,Call Date,Call Time,Call Location,Call Duration
+905379043968,2023-10-08,11:01:02,Kutahya,57
+905331094847,2023-07-05,01:49:17,Ardahan,118
+905393319911,2023-01-17,03:39:07,Kutahya,10
+905393319911,2023-01-29,02:40:46,Kutahya,109
+905379043968,2023-11-13,11:22:20,Kutahya,67
+905331094847,2023-12-23,13:08:26,Ardahan,26
+905379043968,2023-04-19,03:08:37,Kutahya,28
+905333689567,2023-03-18,20:57:27,Kahramanmaras,91
+905379043968,2023-07-22,12:03:23,Kutahya,53
+905369731026,2023-02-11,19:36:19,Kutahya,76
+905331094847,2023-05-22,14:51:08,Ardahan,114
+905369731026,2023-08-20,08:25:44,Kutahya,45
+905333689567,2023-02-01,21:24:55,Kahramanmaras,12
+905379043968,2023-11-10,14:19:54,Kutahya,40
+905331094847,2023-05-08,18:53:35,Ardahan,71
+905329900871,2023-04-01,07:48:28,Kutahya,66
+905369731026,2023-08-27,14:59:23,Kutahya,22
+905379043968,2023-08-01,13:59:00,Kutahya,27
+905329900871,2023-11-05,14:06:53,Kutahya,110
+905329900871,2023-04-05,03:33:47,Kutahya,100
