Called Number,Call Date,Call Time,Call Location,Call Duration
+905336041766,2023-05-30,00:15:12,Amasya,37
+905395896314,2023-11-02,15:42:09,Afyonkarahisar,16
+905343214734,2023-04-25,12:12:55,Luleburgaz,2
+905351612404,2023-07-25,20:00:04,Afyonkarahisar,19
+905371118981,2023-07-02,16:39:14,Yalova,46
+905396393723,2023-11-23,23:03:33,Yalova,53
+905381180648,2023-12-20,06:29:23,Ardahan,114
+905367399277,2023-09-21,09:44:46,Bartin,107
+905304006895,2023-06-14,05:34:32,Kirklareli,106
+905386167135,2023-05-01,09:47:41,Afyonkarahisar,23
+905373636436,2023-11-20,01:41:26,Bartin,72
+905388010630,2023-10-01,23:34:55,Ardahan,59
+905382622520,2023-11-09,15:05:44,Aydin,111
+905391016473,2023-07-31,22:34:56,Trabzon,12
+905394312714,2023-08-30,23:18:51,Luleburgaz,7
+905398310741,2023-12-20,04:43:33,Edirne,47
+905309119794,2023-06-03,01:17:25,Bilecik,86
+905336567825,2023-10-28,20:04:50,Agri,39
+905326742758,2023-06-08,05:53:45,Bilecik,57
+905307867671,2023-04-30,04:35:21,Edirne,107
