Called Number,Call Date,Call Time,Call Location,Call Duration
+905365880659,2023-04-08,17:15:51,Erzurum,40
+905399251481,2023-12-12,23:52:30,Elazig,23
+905391123442,2023-11-22,20:03:09,Aydin,80
+905330393437,2023-07-10,08:06:20,Burdur,109
+905346155468,2023-09-16,20:28:27,Canakkale,36
+905366362844,2023-02-09,07:49:49,Sinop,94
+905334834276,2023-09-07,12:42:42,Elazig,87
+905374172260,2023-02-16,17:54:39,Hakkari,99
+905373677406,2023-11-17,03:30:52,Burdur,70
+905314962374,2023-05-05,14:24:25,Antakya,11
+905368886982,2023-11-02,00:47:07,Malatya,53
+905363106064,2023-11-16,03:39:12,Elazig,1
+905307093116,2023-03-04,11:44:51,Elazig,34
+905341363798,2023-06-19,12:54:41,Canakkale,92
+905337775485,2023-02-08,15:08:03,Canakkale,77
+905308043359,2023-05-20,22:15:15,Tunceli,40
+905339533376,2023-07-29,11:38:33,Agri,86
+905357814902,2023-04-20,11:03:25,Hakkari,48
+905371796081,2023-12-12,04:58:41,Konya,54
+905348378016,2023-01-20,19:51:36,Gaziantep,113
