Called Number,Call Date,Call Time,Call Location,Call Duration
+905363560760,2023-10-06,06:18:18,Van,84
+905340729099,2023-07-25,13:40:06,Zonguldak,13
+905363560760,2023-03-26,20:19:55,Van,94
+905340729099,2023-08-17,00:56:49,Zonguldak,56
+905363560760,2023-12-06,10:01:56,Van,19
+905357501811,2023-04-28,07:37:14,Zonguldak,97
+905357501811,2023-10-12,15:29:52,Zonguldak,33
+905357501811,2023-03-24,01:49:58,Zonguldak,39
+905354518147,2023-08-03,20:14:21,Zonguldak,117
+905363560760,2023-10-09,07:09:45,Van,57
+905363560760,2023-09-01,09:32:27,Van,76
+905396571084,2023-03-04,17:34:38,Zonguldak,14
+905340729099,2023-07-27,13:03:30,Zonguldak,53
+905354518147,2023-12-13,03:17:17,Zonguldak,15
+905340729099,2023-06-03,17:57:47,Zonguldak,69
+905396571084,2023-10-30,18:22:17,Zonguldak,6
+905340729099,2023-12-11,12:08:56,Zonguldak,53
+905357501811,2023-03-09,22:25:29,Zonguldak,99
+905363560760,2023-02-24,11:13:25,Van,77
+905357501811,2023-08-30,17:28:10,Zonguldak,113
