Called Number,Call Date,Call Time,Call Location,Call Duration
+905327567023,2023-04-25,00:10:20,Nigde,1
+905341014232,2023-05-05,18:36:49,Nigde,31
+905327567023,2023-04-19,22:53:20,Nigde,39
+905341014232,2023-04-21,04:48:45,Nigde,7
+905388573908,2023-02-26,15:12:56,Nigde,97
+905388573908,2023-07-08,22:13:10,Nigde,70
+905302244284,2023-01-23,20:38:29,Sivas,25
+905388573908,2023-03-28,14:10:53,Nigde,116
+905388573908,2023-01-13,18:54:12,Nigde,16
+905341014232,2023-07-17,04:57:58,Nigde,120
+905315672783,2023-08-03,16:27:54,Nigde,6
+905315672783,2023-06-11,23:49:23,Nigde,14
+905302244284,2023-11-14,06:36:22,Sivas,5
+905315672783,2023-12-04,21:47:21,Nigde,81
+905313711826,2023-03-28,13:09:27,Antalya,91
+905341014232,2023-06-23,06:21:09,Nigde,32
+905341014232,2023-02-08,21:25:53,Nigde,119
+905341014232,2023-11-19,05:34:57,Nigde,27
+905313711826,2023-03-23,07:12:34,Antalya,50
+905388573908,2023-04-02,11:18:04,Nigde,28
