Called Number,Call Date,Call Time,Call Location,Call Duration
+905327684181,2023-08-18,00:48:58,Kocaeli,18
+905377688562,2023-10-29,10:33:56,Bitlis,2
+905381632308,2023-11-11,05:16:42,Igdir,53
+905364952049,2023-11-10,15:38:38,Duzce,29
+905336269170,2023-09-20,02:43:31,Bitlis,92
+905347085985,2023-02-22,00:06:27,Istanbul,113
+905361238013,2023-02-24,02:15:34,Batman,10
+905351117976,2023-10-08,14:36:30,Istanbul,11
+905317898327,2023-09-07,21:48:42,Bitlis,111
+905365744114,2023-11-28,19:11:40,Kirikkale,53
+905340398138,2023-08-29,10:50:08,Amasra,70
+905334376547,2023-04-21,06:57:52,Kilis,13
+905352977659,2023-10-20,07:52:51,Usak,5
+905334906851,2023-11-10,06:45:01,Sakarya,2
+905326102859,2023-02-03,07:23:45,Kirikkale,32
+905380084592,2023-05-27,06:13:03,Balikesir,107
+905377764998,2023-05-05,22:09:03,Igdir,19
+905377431610,2023-06-10,15:04:28,Kastamonu,90
+905316963646,2023-07-01,23:17:36,Balikesir,116
+905347109569,2023-03-09,00:37:21,Duzce,112
