Called Number,Call Date,Call Time,Call Location,Call Duration
+905352468143,2023-07-03,04:29:03,Adana,106
+905376364848,2023-03-15,18:25:14,Adana,9
+905315367339,2023-05-07,08:53:16,Sivas,50
+905318869532,2023-09-02,09:04:14,Adana,93
+905376364848,2023-10-06,17:51:24,Adana,59
+905315367339,2023-04-11,15:16:22,Sivas,16
+905376364848,2023-10-20,05:19:54,Adana,99
+905352468143,2023-11-24,00:58:55,Adana,3
+905309948406,2023-02-08,15:20:10,Adana,103
+905309948406,2023-07-01,19:32:25,Adana,57
+905352468143,2023-09-24,06:41:57,Adana,119
+905391030215,2023-03-06,03:17:38,Kastamonu,95
+905376364848,2023-01-02,13:30:48,Adana,76
+905309948406,2023-02-16,03:11:01,Adana,79
+905352468143,2023-04-02,16:37:57,Adana,89
+905352468143,2023-10-11,04:13:59,Adana,51
+905315367339,2023-05-06,01:24:20,Sivas,74
+905309948406,2023-10-20,12:28:45,Adana,111
+905315367339,2023-06-02,08:09:15,Sivas,4
+905309948406,2023-03-31,15:28:53,Adana,26
