Called Number,Call Date,Call Time,Call Location,Call Duration
+905316217681,2023-09-17,07:34:33,Sirnak,50
+905316217681,2023-12-15,21:12:58,Sirnak,35
+905320678813,2023-02-10,13:55:07,Samsun,53
+905373381889,2023-12-05,19:02:14,Samsun,102
+905373381889,2023-12-24,00:36:03,Samsun,15
+905316217681,2023-02-28,21:22:29,Sirnak,24
+905373381889,2023-03-10,16:44:34,Samsun,60
+905320678813,2023-02-03,01:31:55,Samsun,39
+905300519930,2023-06-24,15:05:33,Samsun,72
+905300519930,2023-12-11,04:50:50,Samsun,112
+905316217681,2023-07-18,12:46:36,Sirnak,83
+905320678813,2023-01-21,00:09:02,Samsun,57
+905373381889,2023-03-30,10:07:10,Samsun,40
+905320678813,2023-02-10,19:51:40,Samsun,46
+905365451247,2023-03-15,14:24:11,Usak,101
+905379926852,2023-05-23,01:18:14,Samsun,95
+905373381889,2023-06-21,05:11:13,Samsun,108
+905316217681,2023-11-08,13:17:04,Sirnak,77
+905316217681,2023-05-22,08:35:49,Sirnak,18
+905320678813,2023-12-12,18:51:32,Samsun,28
