Called Number,Call Date,Call Time,Call Location,Call Duration
+905393114765,2023-10-06,21:56:11,Bilecik,57
+905374107274,2023-08-16,05:50:19,Bilecik,12
+905374107274,2023-08-25,15:36:05,Bilecik,41
+905379487829,2023-07-06,19:49:07,Bilecik,78
+905374107274,2023-02-03,10:20:56,Bilecik,88
+905336660097,2023-11-09,13:03:29,Kirklareli,21
+905392323793,2023-03-16,16:57:20,Nigde,68
+905374107274,2023-03-16,18:02:26,Bilecik,81
+905336660097,2023-02-18,19:20:00,Kirklareli,30
+905392323793,2023-10-08,01:22:07,Nigde,43
+905396597856,2023-12-29,12:10:17,Bilecik,92
+905396597856,2023-10-01,12:36:53,Bilecik,43
+905392323793,2023-12-11,08:00:38,Nigde,66
+905379487829,2023-06-30,06:32:07,Bilecik,46
+905396597856,2023-06-17,15:22:21,Bilecik,113
+905336660097,2023-06-11,12:28:30,Kirklareli,17
+905379487829,2023-02-20,01:57:01,Bilecik,111
+905336660097,2023-06-09,15:56:22,Kirklareli,95
+905396597856,2023-07-07,17:21:46,Bilecik,51
+905396597856,2023-05-09,06:55:40,Bilecik,41
